onset,time,hcom_velocity,hcom_acceleration,hip_angle,knee_angle,hip_torque,knee_torque
0,0.0,-0.01985622,-0.4829339,62.2581011,81.0102778,-0.5436467486821706,0.01379534449612403
0,0.005,-0.01984533,-0.47123609,62.25924457,81.01130633,-0.5487626178294573,0.018054293178294573
0,0.01,-0.01981978,-0.45998797,62.2266071,81.01723097,-0.5536059139534883,0.022116906976744184
0,0.015,-0.01977823,-0.44967961,62.22751809,81.01810306,-0.5579703342635658,0.02581882093023256
0,0.02,-0.01971874,-0.44068732,62.19112867,81.02219396,-0.5617094029457365,0.029039023875968992
0,0.025,-0.01963898,-0.43325189,62.19211536,81.02271259,-0.564746126356589,0.031705961085271316
0,0.03,-0.01953647,-0.4274739,62.1558312,81.02717814,-0.5670738213953488,0.033797521240310074
0,0.035,-0.01940887,-0.42332386,62.15674268,81.02802229,-0.5687470192248062,0.035335623720930236
0,0.04,-0.01925411,-0.42066052,62.11998463,81.03137606,-0.5698656427906976,0.03637743751937984
0,0.045,-0.01907059,-0.41925942,62.11859083,81.03468,-0.570557534883721,0.037005064496124035
0,0.05,-0.01885726,-0.41884797,62.08416859,81.03478393,-0.5709607423255814,0.03731423286821705
0,0.055,-0.01861373,-0.41913914,62.08265062,81.0383723,-0.5712061485271318,0.03740240930232558
0,0.06,-0.01834025,-0.41986165,62.05070109,81.03841518,-0.571402716124031,0.03735729953488372
0,0.065,-0.01803775,-0.42078506,62.05195467,81.03940823,-0.5716300751937985,0.03724964403100775
0,0.07,-0.01770778,-0.42173701,62.01461738,81.04076363,-0.5719368863565891,0.03713075612403101
0,0.075,-0.01735255,-0.42261189,62.01541609,81.04088696,-0.5723423376744187,0.03703255348837209
0,0.08,-0.01697489,-0.42337087,61.98155439,81.04306405,-0.5728407965891473,0.036969873333333333
0,0.085,-0.01657817,-0.42403045,61.97903852,81.04595489,-0.57340818,0.03694476790697675
0,0.09,-0.01616625,-0.42464296,61.94977577,81.04472369,-0.5740090711627907,0.036950848217054265
0,0.095,-0.01574334,-0.42527711,61.95070029,81.04506122,-0.5746040359689922,0.0369772311627907
0,0.1,-0.01531392,-0.42600487,61.91845168,81.04632018,-0.5751567525581395,0.037012731627906977
0,0.105,-0.01488257,-0.42689282,61.91908453,81.04634327,-0.5756419666666667,0.03705031085271318
0,0.11,-0.01445393,-0.42799423,61.88958732,81.04819072,-0.5760495655813953,0.03708976325581395
0,0.115,-0.01403257,-0.42934125,61.89017091,81.04817078,-0.5763826875968991,0.03713756775193798
0,0.12,-0.01362285,-0.43093701,61.86218516,81.05026353,-0.5766541376744185,0.03720462480620155
0,0.125,-0.01322888,-0.43275242,61.86270282,81.04991658,-0.5768815184496124,0.03730222604651163
0,0.13,-0.01285431,-0.4347285,61.83606571,81.05268242,-0.5770830099224806,0.03743794542635659
0,0.135,-0.0125023,-0.43678276,61.83652266,81.05235794,-0.5772749082170543,0.037613204031007756
0,0.14,-0.0121754,-0.43881972,61.8314335,81.05897307,-0.5774707696124031,0.037823248837209306
0,0.145,-0.01187548,-0.44074304,61.80431372,81.05515179,-0.5776818227906977,0.03805902263565891
0,0.15,-0.01160376,-0.44246642,61.80528084,81.05706355,-0.5779172220155039,0.038308924961240304
0,0.155,-0.01136084,-0.44392108,61.80331277,81.06139195,-0.5781830714728683,0.03856082480620155
0,0.16,-0.01114682,-0.44506288,61.80360352,81.06102826,-0.5784790823255813,0.03880267565891472
0,0.165,-0.01096152,-0.4458761,61.75666999,81.06556845,-0.5787961226356588,0.039022325891472864
0,0.17,-0.01080472,-0.44637261,61.75704683,81.06533049,-0.5791172789147288,0.03920804930232558
0,0.175,-0.01067638,-0.44658675,61.7348063,81.07155701,-0.57942206,0.039350167131782944
0,0.18,-0.01057652,-0.44656744,61.73524396,81.0718349,-0.5796913956589147,0.03944267441860465
0,0.185,-0.01050517,-0.44637012,61.73455613,81.07559198,-0.5799126055813953,0.03948400139534884
0,0.19,-0.0104623,-0.44605074,61.73490825,81.0753817,-0.5800817959689922,0.039477080930232555
0,0.195,-0.01044779,-0.44566383,61.6971705,81.08425671,-0.5802025666666666,0.039428852868217054
0,0.2,-0.01046166,-0.44526267,61.6975593,81.08396238,-0.5802822499224807,0.03934898062015504
0,0.205,-0.01050403,-0.44489814,61.67727406,81.09219367,-0.580328143875969,0.03924823007751938
0,0.21,-0.01057507,-0.44461625,61.67767479,81.09189268,-0.5803440426356589,0.0391362423255814
0,0.215,-0.01067487,-0.44445256,61.67754572,81.09657223,-0.5803278403100776,0.039019783100775196
0,0.22,-0.01080336,-0.44442971,61.67257135,81.10567291,-0.5802713773643411,0.038902060620155034
0,0.225,-0.01096028,-0.44455885,61.63779376,81.10718153,-0.580162487751938,0.03878355612403101
0,0.23,-0.01114531,-0.44483973,61.63832599,81.10696861,-0.5799866911627907,0.03866251658914729
0,0.235,-0.01135803,-0.44526129,61.63865163,81.11304981,-0.5797283443410852,0.03853474558139535
0,0.24,-0.01159791,-0.445806,61.60781511,81.12127214,-0.5793717668217054,0.03839380356589148
0,0.245,-0.01186427,-0.44645462,61.60839324,81.12093471,-0.5789042314728683,0.03823230558139535
0,0.25,-0.01215625,-0.44718622,61.60608348,81.12975812,-0.578321179379845,0.038045039844961236
0,0.255,-0.0124728,-0.4479755,61.57478862,81.13367856,-0.577629304496124,0.03783170573643411
0,0.26,-0.01281257,-0.44879056,61.57579553,81.13761521,-0.5768443341085271,0.03759705968992248
0,0.265,-0.01317399,-0.44959111,61.5762452,81.13729998,-0.575988316124031,0.03735067162790698
0,0.27,-0.01355515,-0.4503293,61.54002191,81.14910771,-0.5750872241860465,0.037106120310077526
0,0.275,-0.01395392,-0.45094989,61.54065893,81.14860951,-0.5741700279069768,0.03688019798449612
0,0.28,-0.01436791,-0.45139138,61.53884032,81.15686641,-0.5732689217054264,0.0366920272868217
0,0.285,-0.01479457,-0.45159368,61.50109315,81.16155316,-0.5724174466666667,0.03656063503875969
0,0.29,-0.01523115,-0.45150895,61.50163048,81.16637861,-0.5716455015503875,0.03650182496124031
0,0.295,-0.01567479,-0.45111132,61.50221305,81.16595069,-0.5709729703875969,0.03652580821705426
0,0.3,-0.01612251,-0.45040114,61.46300252,81.1778224,-0.5704070570542635,0.03663669984496124
0,0.305,-0.01657134,-0.44940167,61.44624654,81.18183737,-0.5699449328682171,0.03683374527131783
0,0.31,-0.01701828,-0.44815174,61.44714057,81.18134008,-0.5695772575193798,0.0371118303875969
0,0.315,-0.01746028,-0.4466981,61.41940378,81.19149221,-0.5692905821705426,0.037461416744186044
0,0.32,-0.01789411,-0.44509071,61.4196695,81.19455662,-0.5690680855813953,0.03786868914728682
0,0.325,-0.01831637,-0.44337673,61.42034167,81.19413764,-0.5688918550387597,0.038317612558139535
0,0.33,-0.01872356,-0.44159112,61.37345832,81.20567866,-0.5687473834108527,0.03879435875968992
0,0.335,-0.01911227,-0.43975123,61.37455713,81.2049848,-0.5686247827906977,0.039290686666666665
0,0.34,-0.01947937,-0.43786087,61.34101548,81.21551935,-0.5685165130232558,0.03980395085271318
0,0.345,-0.01982204,-0.43591628,61.34213496,81.21482396,-0.5684146665116279,0.04033482356589147
0,0.35,-0.02013786,-0.43390794,61.30776173,81.22390576,-0.5683103021705426,0.040885907286821704
0,0.355,-0.02042477,-0.43182058,61.30902734,81.22321609,-0.5681923654263566,0.041460576744186045
0,0.36,-0.02068108,-0.42963416,61.27953722,81.23343861,-0.5680468765891472,0.04206156465116279
0,0.365,-0.02090547,-0.42732707,61.28014972,81.2375186,-0.5678584403100775,0.04268952558139535
0,0.37,-0.02109711,-0.424878,61.24105104,81.241899,-0.567614206511628,0.04334263798449612
0,0.375,-0.02125563,-0.42226713,61.24029114,81.24693491,-0.5673091120930233,0.044017653643410856
0,0.38,-0.02138125,-0.41947715,61.20780959,81.25177081,-0.5669498589147287,0.044711458139534886
0,0.385,-0.02147472,-0.41649618,61.20716198,81.2550868,-0.5665542463565891,0.04542201286821705
0,0.39,-0.02153734,-0.41332015,61.17268936,81.26048918,-0.5661461320930232,0.04614821751937984
0,0.395,-0.02157091,-0.40995472,61.16785928,81.2652935,-0.5657498781395348,0.046889531007751936
0,0.4,-0.02157776,-0.40641655,61.13684957,81.26913586,-0.5653867455813953,0.04764617379844961
0,0.405,-0.02156062,-0.4027328,61.13440653,81.27490344,-0.5650708491472868,0.048418347596899225
0,0.41,-0.0215226,-0.39893734,61.10222986,81.27806142,-0.5648051499224807,0.04920489860465116
0,0.415,-0.02146709,-0.39506514,61.08618045,81.28350109,-0.5645787691472868,0.05000203550387597
0,0.42,-0.02139764,-0.39114797,61.08620168,81.28621822,-0.5643668852713178,0.050802289457364334
0,0.425,-0.02131784,-0.38721343,61.04940557,81.29132402,-0.5641333609302326,0.05159429441860465
0,0.43,-0.02123128,-0.38328626,61.04737194,81.29790657,-0.563834672248062,0.05236313023255814
0,0.435,-0.02114147,-0.37939074,61.01647025,81.30303374,-0.5634259184496124,0.053091842325581395
0,0.44,-0.02105184,-0.37555125,61.01559228,81.30378718,-0.5628695086821706,0.05376424759689922
0,0.445,-0.02096563,-0.37178888,60.97797447,81.30970534,-0.5621461100775194,0.05436987488372093
0,0.45,-0.02088587,-0.36812061,60.97822717,81.31292328,-0.5612601675968992,0.054907490387596895
0,0.455,-0.02081537,-0.36455848,60.9469144,81.32168126,-0.5602383299224806,0.05538563612403101
0,0.46,-0.02075667,-0.36110788,60.94815478,81.32089499,-0.5591258908527131,0.05582127100775194
0,0.465,-0.02071201,-0.35776656,60.90750521,81.3295062,-0.5579818325581395,0.05623745534883721
0,0.47,-0.02068338,-0.35452638,60.90753384,81.33170269,-0.5568708479069767,0.05666033364341085
0,0.475,-0.02067249,-0.35137935,60.86981256,81.3377066,-0.5558535778294574,0.05711556914728682
0,0.48,-0.0206808,-0.3483238,60.86998031,81.34051505,-0.5549765251162792,0.05762371829457364
0,0.485,-0.02070943,-0.34536755,60.83206389,81.34702237,-0.5542653999999999,0.05819589224806202
0,0.49,-0.02075918,-0.34252907,60.83178034,81.34959415,-0.5537213958139535,0.058830360310077524
0,0.495,-0.02083044,-0.33983728,60.79894923,81.35905236,-0.5533220038759691,0.05951090542635659
0,0.5,-0.02092322,-0.33732849,60.80004695,81.35832209,-0.5530284344186046,0.06020943813953488
0,0.505,-0.02103709,-0.3350423,60.75491652,81.36613321,-0.5527951900775194,0.060891756744186044
0,0.51,-0.02117129,-0.33301578,60.75466987,81.36819943,-0.5525779782945736,0.06152357069767442
0,0.515,-0.02132472,-0.33127926,60.7159185,81.37708538,-0.5523371437209302,0.06207442511627907
0,0.52,-0.02149598,-0.32985432,60.71704446,81.37632352,-0.5520403156589148,0.06252105875968991
