batch_id,start_row,lat_ms,hip_pred_1,hip_pred_2,hip_pred_3,hip_pred_4,hip_pred_5,knee_pred_1,knee_pred_2,knee_pred_3,knee_pred_4,knee_pred_5,rmse_scaled_hip,rmse_scaled_knee,rmse_phys_hip,rmse_phys_knee
0,865,4.45,-2.019586,-2.053666,-2.068466,-2.075786,-2.080194,-0.562820,-0.575401,-0.585155,-0.592246,-0.597547,0.115504,0.183734,0.446418,0.450317
1,5116,2.54,-0.958249,-0.921542,-0.895793,-0.872606,-0.850987,-0.426919,-0.401871,-0.388436,-0.378383,-0.370084,0.025405,0.120716,0.098188,0.295864
2,433,2.57,-0.085837,-0.085867,-0.087415,-0.087842,-0.086505,0.007093,0.008726,0.008414,0.008471,0.009487,0.025357,0.019751,0.098002,0.048409
4,3046,2.30,-0.183084,-0.215130,-0.244586,-0.269106,-0.289098,0.035798,0.026978,0.016552,0.007547,0.000364,0.040499,0.051974,0.156526,0.127383
5,835,2.54,-0.207616,-0.235716,-0.260026,-0.279389,-0.294507,0.067335,0.063928,0.058383,0.053772,0.050477,0.036438,0.015405,0.140832,0.037757
7,5317,2.34,-0.586170,-0.566752,-0.557675,-0.549805,-0.541877,-0.136137,-0.124991,-0.123405,-0.123413,-0.123637,0.020774,0.100265,0.080289,0.245740
8,5257,2.22,-0.936179,-1.032881,-1.105151,-1.156869,-1.193880,-0.394286,-0.438654,-0.472133,-0.494532,-0.508751,0.095288,0.086853,0.368283,0.212868
9,4624,2.17,-0.008109,-0.015964,-0.023118,-0.027639,-0.029370,0.039104,0.038785,0.036946,0.035752,0.035653,0.024153,0.027659,0.093351,0.067790
10,463,2.12,-0.451595,-0.516720,-0.569931,-0.612524,-0.646834,0.030660,0.008165,-0.013919,-0.032237,-0.046939,0.015596,0.006469,0.060277,0.015855
11,5689,2.11,-1.009090,-0.983737,-0.963826,-0.944832,-0.926859,-0.407337,-0.384542,-0.369531,-0.356282,-0.344193,0.052624,0.027310,0.203391,0.066935
14,3538,2.22,0.369527,0.363153,0.370192,0.381974,0.397556,-0.365044,-0.351774,-0.335116,-0.320375,-0.307335,0.060507,0.015717,0.233855,0.038521
16,2644,2.16,-0.329063,-0.454199,-0.556955,-0.640592,-0.708979,0.114547,0.057884,0.006520,-0.035702,-0.069699,0.138903,0.034896,0.536853,0.085527
17,4825,2.48,-0.056275,-0.054826,-0.055016,-0.054030,-0.051271,0.026130,0.028686,0.028985,0.029526,0.030899,0.013585,0.025610,0.052504,0.062768
19,3679,2.31,-2.313796,-2.300953,-2.307688,-2.314631,-2.323101,-1.163193,-1.153181,-1.157802,-1.163905,-1.170884,0.066072,0.064642,0.255364,0.158432
21,2533,2.14,0.345702,0.342051,0.349580,0.363306,0.381387,-0.323014,-0.307959,-0.292690,-0.279169,-0.267224,0.068594,0.022596,0.265113,0.055380
22,2443,2.16,-0.557348,-0.664740,-0.752512,-0.822007,-0.877089,-0.084307,-0.131508,-0.173519,-0.206621,-0.231948,0.173361,0.095362,0.670032,0.233725
23,3217,2.14,-0.079346,-0.083361,-0.089160,-0.093768,-0.096436,0.038768,0.040091,0.039367,0.038899,0.039352,0.046689,0.060840,0.180452,0.149114
25,5830,2.22,-0.281813,-0.322596,-0.356778,-0.383579,-0.404147,-0.040411,-0.055352,-0.070252,-0.082506,-0.092066,0.043717,0.028716,0.168963,0.070381
26,5086,2.13,-1.846145,-1.843115,-1.840530,-1.839665,-1.840409,-0.978775,-0.979537,-0.981425,-0.983941,-0.986819,0.084213,0.038667,0.325478,0.094770
28,5659,2.01,-1.966551,-1.946379,-1.946222,-1.946541,-1.948308,-1.260719,-1.252091,-1.255949,-1.259465,-1.263116,0.137032,0.074598,0.529622,0.182833
29,1267,2.05,-2.157654,-2.158398,-2.167785,-2.176439,-2.185706,-1.034361,-1.033646,-1.040516,-1.047471,-1.054490,0.086357,0.152962,0.333763,0.374896
30,694,1.94,-1.364821,-1.347103,-1.330961,-1.315445,-1.301076,-0.581208,-0.564912,-0.552413,-0.540856,-0.530258,0.013540,0.097822,0.052332,0.239754
31,1870,1.97,-2.230254,-2.263002,-2.286484,-2.304491,-2.320580,-0.847762,-0.860098,-0.873493,-0.885123,-0.895479,0.104578,0.031513,0.404188,0.077236
32,4222,1.94,0.000621,-0.005553,-0.011209,-0.014308,-0.014638,0.001694,0.001073,-0.000855,-0.001922,-0.001710,0.012034,0.012438,0.046509,0.030485
33,805,2.00,-0.101051,-0.096726,-0.094824,-0.092324,-0.088455,0.013364,0.016827,0.017879,0.019050,0.020985,0.036882,0.020411,0.142548,0.050026
34,664,2.16,-2.009516,-2.039348,-2.056289,-2.068541,-2.078907,-0.781551,-0.790703,-0.798076,-0.804182,-0.809445,0.035854,0.109569,0.138575,0.268544
35,2161,2.23,-0.012593,-0.047404,-0.077100,-0.100243,-0.117502,0.031109,0.053589,0.068329,0.080012,0.090084,0.043558,0.046073,0.168349,0.112922
36,895,2.33,-1.324577,-1.287313,-1.257714,-1.231227,-1.207575,-0.553497,-0.532765,-0.518091,-0.505276,-0.493912,0.040054,0.171636,0.154806,0.420665
37,3619,2.07,-0.071222,-0.075687,-0.081400,-0.085757,-0.088085,0.025101,0.025426,0.024163,0.023357,0.023599,0.012911,0.062592,0.049901,0.153408
38,3850,2.04,-0.121276,-0.115579,-0.114521,-0.113812,-0.112169,0.045667,0.051100,0.053252,0.054984,0.057187,0.071143,0.045255,0.274964,0.110917
40,5056,1.99,-0.638857,-0.706839,-0.762383,-0.806098,-0.840471,-0.134070,-0.160527,-0.185465,-0.205545,-0.221175,0.022497,0.019952,0.086951,0.048901
41,1036,1.97,-0.289005,-0.318640,-0.345772,-0.368333,-0.386897,0.029059,0.022946,0.014452,0.006983,0.000943,0.007974,0.023491,0.030818,0.057574
